total penalty per word;key position cost;finger repeats;disbalance of fingers;top to bottom or vice versa;handswitching in trigram;(rows²/dist)²;shortcut keys;handswitching after unbalancing;movement pattern
0.801830986805;1.061e-05;2.56e-07;3.43818755825e-06;0.0;6e-07;7.71974744898e-07;8.56e-08;3.6e-07;5e-07
0.882411169805;1.024e-05;5.12e-07;3.56072000989e-06;0.0;2.1e-06;1.15310707823e-06;8.56e-08;3.4e-07;5e-07
0.851370565265;1.05e-05;5.12e-07;3.22984261552e-06;0.0;6e-07;2.07726666667e-06;4.28e-08;1.6e-07;5.6e-07
0.73100013929;9.91e-06;2.56e-07;3.68681827266e-06;0.0;6e-07;1.833105e-07;8.56e-08;3.2e-07;5e-07
0.753067583055;9.89e-06;5.12e-07;3.19296831962e-06;0.0;6e-07;6.92855333333e-07;4.28e-08;3.2e-07;5.6e-07
0.757820972448;1.001e-05;5.12e-07;3.19687599515e-06;0.0;6e-07;8.24968833333e-07;4.28e-08;3.4e-07;5.6e-07
0.764733418479;1.004e-05;7.68e-07;3.36433916149e-06;0.0;6e-07;6.86581333333e-07;4.28e-08;3.2e-07;5e-07
0.811052530152;1.005e-05;0.0;3.47897593712e-06;0.0;2.4e-06;4.60274e-07;8.56e-08;3.4e-07;4.4e-07
0.834074389721;1.016e-05;1.28e-06;3.42765872057e-06;0.0;1.2e-06;3.947115e-07;8.56e-08;3.2e-07;5.6e-07
0.772365786831;1.04e-05;7.68e-07;3.39195734422e-06;0.0;6e-07;2.76695833333e-07;1.284e-07;3.6e-07;5.6e-07
0.727864203275;9.98e-06;5.12e-07;3.22055462279e-06;0.0;3e-07;6.77364666667e-07;4.28e-08;3e-07;5e-07
0.785373112221;1.029e-05;2.56e-07;3.29358836341e-06;0.0;6e-07;9.91524744898e-07;8.56e-08;3.4e-07;5e-07
0.768122506585;1.013e-05;5.12e-07;3.0573549569e-06;0.0;6e-07;9.14093833333e-07;1.284e-07;3.2e-07;5e-07
0.830329909768;1.007e-05;1.28e-06;3.01630407581e-06;0.0;1.2e-06;7.896845e-07;4.28e-08;3.6e-07;5.6e-07
0.793197529849;1.036e-05;1.024e-06;3.90714297814e-06;0.0;0.0;6.741095e-07;8.56e-08;3.2e-07;5.6e-07
0.767247719776;1.008e-05;5.12e-07;3.09665118587e-06;0.0;6e-07;9.06077166667e-07;1.284e-07;3.2e-07;5e-07
0.814252242612;1.047e-05;2.56e-07;3.56879826586e-06;0.0;9e-07;7.69978911565e-07;4.28e-08;3.8e-07;5e-07
0.84290962359;1.014e-05;1.024e-06;3.31363543954e-06;0.0;1.8e-06;4.74708333333e-07;4.28e-08;3.8e-07;5e-07
0.759750038017;9.74e-06;7.68e-07;3.19345510542e-06;0.0;6e-07;8.127215e-07;4.28e-08;4.4e-07;5.6e-07
0.836719087731;1.083e-05;2.56e-07;3.58253500837e-06;0.0;6e-07;8.64283333333e-07;1.284e-07;5.8e-07;4.4e-07
0.81468586546;1.071e-05;2.56e-07;3.54538215886e-06;0.0;9e-07;6.67375e-07;0.0;2.6e-07;5e-07
0.749242222691;1.004e-05;5.12e-07;3.28329346454e-06;0.0;6e-07;7.80265666667e-07;8.56e-08;2.2e-07;4.4e-07
